Sample	Soil	Origin_sample	Type_sample
MetaG-AA	Agricultural	Rhizosphere	MetaG-AA
MetaG-AB	Agricultural	Rhizosphere	MetaG-AB
MetaG-AD	Agricultural	Rhizosphere	MetaG-AD
MetaG-AE	Agricultural	Rhizosphere	MetaG-AE
MetaG-AH	Agricultural	Rhizosphere	MetaG-AH
MetaG-AI	Agricultural	Rhizosphere	MetaG-AI
MetaG-NA	Non-agricultural	Rhizosphere	MetaG-NA
MetaG-ND	Non-agricultural	Rhizosphere	MetaG-ND
MetaG-NE	Non-agricultural	Rhizosphere	MetaG-NE
MetaG-NH	Non-agricultural	Rhizosphere	MetaG-NH
MetaG-NI	Non-agricultural	Rhizosphere	MetaG-NI
MetaG-PAA	Agricultural	Soil	MetaG-PAA
MetaG-PAD	Agricultural	Soil	MetaG-PAD
MetaG-PAI	Agricultural	Soil	MetaG-PAI
MetaG-PNA	Non-agricultural	Soil	MetaG-PNA
MetaG-PND	Non-agricultural	Soil	MetaG-PND
MetaG-PNI	Non-agricultural	Soil	MetaG-PNI
V10rh	Agricultural	Rhizosphere	Negro_Criollo_V10
V16rh	Agricultural	Rhizosphere	Peruano_V16
V22rh	Agricultural	Rhizosphere	Bayo_V22
V26rh	Agricultural	Rhizosphere	Negro_San_Luis_V26
V2rh	Agricultural	Rhizosphere	Negro_Criollo_V2
V43rh	Agricultural	Rhizosphere	Flor_de_Mayo_V43
V45rh	Agricultural	Rhizosphere	Negro_V45
V47rh	Agricultural	Rhizosphere	Bayo_V47
V4rh	Agricultural	Rhizosphere	Negro_Criollo_V4
VP1-2	Agricultural	Soil	VP1-2
VP3-4	Agricultural	Soil	VP3-4
VP5-6	Agricultural	Soil	VP5-6