Sample	Soil	Origin_sample	Type_sample	Bean_Type
MetaG-AA	Agricultural	Rhizosphere	MetaG-AA	Pinto_Saltillo
MetaG-AB	Agricultural	Rhizosphere	MetaG-AB	Pinto_Saltillo
MetaG-AD	Agricultural	Rhizosphere	MetaG-AD	Pinto_Saltillo
MetaG-AE	Agricultural	Rhizosphere	MetaG-AE	Pinto_Saltillo
MetaG-AH	Agricultural	Rhizosphere	MetaG-AH	Pinto_Saltillo
MetaG-AI	Agricultural	Rhizosphere	MetaG-AI	Pinto_Saltillo
MetaG-NA	Non-agricultural	Rhizosphere	MetaG-NA	Pinto_Saltillo
MetaG-ND	Non-agricultural	Rhizosphere	MetaG-ND	Pinto_Saltillo
MetaG-NE	Non-agricultural	Rhizosphere	MetaG-NE	Pinto_Saltillo
MetaG-NH	Non-agricultural	Rhizosphere	MetaG-NH	Pinto_Saltillo
MetaG-NI	Non-agricultural	Rhizosphere	MetaG-NI	Pinto_Saltillo
MetaG-PAA	Agricultural	Soil	MetaG-PAA	Pinto_Saltillo_Soil
MetaG-PAD	Agricultural	Soil	MetaG-PAD	Pinto_Saltillo_Soil
MetaG-PAI	Agricultural	Soil	MetaG-PAI	Pinto_Saltillo_Soil
MetaG-PNA	Non-agricultural	Soil	MetaG-PNA	Pinto_Saltillo_Soil
MetaG-PND	Non-agricultural	Soil	MetaG-PND	Pinto_Saltillo_Soil
MetaG-PNI	Non-agricultural	Soil	MetaG-PNI	Pinto_Saltillo_Soil
V10rh	Agricultural	Rhizosphere	Negro_Criollo_V10	Black_bean
V16rh	Agricultural	Rhizosphere	Peruano_V16	Bayo_bean
V22rh	Agricultural	Rhizosphere	Bayo_V22	Bayo_bean
V26rh	Agricultural	Rhizosphere	Negro_San_Luis_V26	Black_bean
V2rh	Agricultural	Rhizosphere	Negro_Criollo_V2	Black_bean
V43rh	Agricultural	Rhizosphere	Flor_de_Mayo_V43	Bayo_bean
V45rh	Agricultural	Rhizosphere	Negro_V45	Black_bean
V47rh	Agricultural	Rhizosphere	Bayo_V47	Bayo_bean
V4rh	Agricultural	Rhizosphere	Negro_Criollo_V4	Black_bean
VP1-2	Agricultural	Soil	VP1-2	Black_Bayo_Soil
VP3-4	Agricultural	Soil	VP3-4	Black_Bayo_Soil
VP5-6	Agricultural	Soil	VP5-6	Black_Bayo_Soil